action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,363803,[],CHEMBL761638,In vitro inhibition of collagen-induced platelet aggregation in human platelet-rich plasma (PRP),F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1122973,J Med Chem,1985,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,267950,=,1,1,=,,IC50,ug.mL-1,,10.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,ug ml-1,UO_0000274,,10.0
,,363804,[],CHEMBL761642,Potency relative to flurbiprofen in inhibiting collagen-induced platelet aggregation in human platelet-rich plasma (PRP),F,,,BAO_0000179,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1122973,J Med Chem,1985,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,267950,=,1,0,=,,Relative potency,,,0.01,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,Relative potency,,,,0.01
,,392578,[],CHEMBL768981,In vitro antiplatelet activity against arachidonic acid induced malondialdehyde production,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1127637,J Med Chem,1994,,CHEMBL25,ASPIRIN,CHEMBL25,4.80,0,http://www.openphacts.org/units/Nanomolar,22653,=,1,1,=,,IC50,nM,,16000.0,CHEMBL374,Oryctolagus cuniculus,Oryctolagus cuniculus,9986,,,IC50,uM,UO_0000065,,16.0
,,392579,[],CHEMBL776420,In vitro vasodilatory activity in isolated rat aorta,F,,,BAO_0003036,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1127637,J Med Chem,1994,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://www.openphacts.org/units/Micromolar,22653,>,1,0,>,,ED50,uM,,600.0,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,ED50,uM,UO_0000064,,600.0
,,392580,[],CHEMBL680150,Inhibitory effect on platelet aggregation induced by Arachidonic acid (AA) in guinea pigs ex vivo at a dose of 3.2 mg/Kg after 1 hr of oral administration,F,,,BAO_0000179,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1127637,J Med Chem,1994,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,22653,=,1,1,=,,DOSE,mg.kg-1,,64.0,CHEMBL369,Cavia porcellus,Cavia porcellus,10141,,,Dose,mg kg-1,UO_0000308,,64.0
,,392581,[],CHEMBL680155,Inhibitory effect on platelet aggregation induced by Collagen in guinea pigs ex vivo at a dose of 3.2 mg/Kg after 1 hr of oral administration,F,,,BAO_0000179,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1127637,J Med Chem,1994,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,22653,=,1,1,=,,DOSE,mg.kg-1,,9.0,CHEMBL369,Cavia porcellus,Cavia porcellus,10141,,,Dose,mg kg-1,UO_0000308,,9.0
,,392582,[],CHEMBL804161,Induction of acute stomach lesion at a dose of 10 mg/Kg,F,,,BAO_0000179,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1127637,J Med Chem,1994,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,22653,=,1,0,=,,Ulcer index,,,0.6,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,Ulcer index,,,,0.6
,,392583,[],CHEMBL804164,Induction of acute stomach lesion at a dose of 32 mg/Kg,F,,,BAO_0000179,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1127637,J Med Chem,1994,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,22653,=,1,0,=,,Ulcer index,,,2.0,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,Ulcer index,,,,2.0
,,392584,[],CHEMBL804162,Induction of acute stomach lesion at a dose of 100 mg/Kg,F,,,BAO_0000179,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1127637,J Med Chem,1994,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,22653,=,1,0,=,,Ulcer index,,,2.2,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,Ulcer index,,,,2.2
,,392585,[],CHEMBL804166,Induction of acute stomach lesion at a dose of 320 mg/Kg,F,,,BAO_0000179,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1127637,J Med Chem,1994,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,22653,=,1,0,=,,Ulcer index,,,3.8,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,Ulcer index,,,,3.8
,,392586,[],CHEMBL791096,Induction of acute stomach lesion at a dose of 10 mg/Kg to determine the number of rats with ulceration; 1/5,F,,,BAO_0000193,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1127637,J Med Chem,1994,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,22653,=,1,0,=,,Ratio,,,,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,Ratio,,,,
